t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
0.1500000,0.0000000,0.1297409,0.0000000,0.1297409,0.2161190,0.0194475,0.0648705
0.2500000,1.5789996,0.1646075,1.5789996,0.1646075,0.3924175,0.0552313,0.1023865
0.4000000,1.5789996,0.3015412,1.5789996,0.3015412,0.8496111,0.1178976,0.1612718
0.5500000,1.5283549,0.3015412,1.5283549,0.3015412,1.1232875,0.1887273,0.2255134
0.6500000,1.4797852,0.3015412,1.4797852,0.3015412,1.2283750,0.2200252,0.2473703
0.8000000,1.4180809,0.5120448,1.4180809,0.5120448,1.3142410,0.2824698,0.3770736
0.9000000,1.4180809,0.5120448,1.4180809,0.5120448,1.3415556,0.3454712,0.5320926
1.0500000,1.4180809,0.7676073,1.4180809,0.7676073,1.3666965,0.5048202,0.8958713
1.1500000,1.2263099,0.7676073,1.2263099,0.7676073,1.3506287,0.5753897,1.0827140
1.3000000,1.2263099,1.0090197,1.2263099,1.0090197,1.3012333,0.7125690,1.3959556
1.4000000,1.0525105,1.0090197,1.0525105,1.0090197,1.2541172,0.7917295,1.5907162
1.5500000,0.8945835,1.0090197,0.8945835,1.0090197,1.1765778,0.8733655,1.8197952
1.6500000,0.8945835,1.0090197,0.8945835,1.0090197,1.0993285,0.9081105,2.0306354
1.7500000,0.7667348,1.0090197,0.7667348,1.0090197,1.0245671,0.9340758,2.2086099
1.9000000,0.6320805,1.0090197,0.6320805,1.0090197,0.9066241,0.9611468,2.4462221
2.0000000,0.5391181,1.2532390,0.5391181,1.2532390,0.8312517,0.9738170,2.5676279
2.1500000,0.3958022,1.3973935,0.3958022,1.3973935,0.6973611,1.1030242,2.4702602
2.3000000,0.3958022,1.3973935,0.3958022,1.3973935,0.5810677,1.2165557,2.4243349
2.4000000,0.1994740,1.4881965,0.1994740,1.4881965,0.4752530,1.2918703,2.4624204
2.5000000,0.1994740,1.5633558,0.1994740,1.5633558,0.3987795,1.3671619,2.4303744
2.6500000,0.1994740,1.5839120,0.1994740,1.5839120,0.3219125,1.4485370,2.3958298
2.8000000,-0.2489732,1.5779334,-0.2489732,1.5779334,0.2100261,1.4976210,2.5330492
