t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
0.1500000,0.0000000,0.0000000,0.0000000,0.0000000,0.2167500,0.0000000,0.0000000
0.2500000,1.5844861,0.0748890,1.5844861,0.0748890,0.5961029,0.0207789,0.0474865
0.4000000,1.5633587,0.1865578,1.5633587,0.1865578,0.9710824,0.0726020,0.1376592
0.5500000,1.5136535,0.3391868,1.5136535,0.3391868,1.1910629,0.1392562,0.2481123
0.6500000,1.4606519,0.3391868,1.4606519,0.3391868,1.2799524,0.1945520,0.3452119
0.7500000,1.4180809,0.7225483,1.4606519,0.3391868,1.3298174,0.2345794,0.4110323
0.9000000,1.4606519,0.6267079,1.4606519,0.6267079,1.3759811,0.3832366,0.7560918
1.0500000,1.3437896,0.6267079,1.3437896,0.6267079,1.3606364,0.4983708,1.0489786
1.1500000,1.2575708,0.8010899,1.2575708,0.8010899,1.3307374,0.5796004,1.2596308
1.2500000,1.1601896,0.9452902,1.1601896,0.9452902,1.2952383,0.6600943,1.4457075
1.4000000,1.0525105,1.0695645,1.0525105,1.0695645,1.2269701,0.7860519,1.6916154
1.5000000,1.0525105,1.0695645,1.0525105,1.0695645,1.1787230,0.8637502,1.8111187
1.6500000,1.0525105,1.2330840,1.0525105,1.2330840,1.1300590,0.9883980,1.8569088
1.8000000,1.0525105,1.3542851,1.0525105,1.3542851,1.1001482,1.1164033,1.8334832
1.9000000,0.6320805,1.4074685,0.6320805,1.4074685,1.0255747,1.1852024,2.0164338
2.0000000,0.4918158,1.4605610,0.4918158,1.4605610,0.9180584,1.2440175,2.2348796
2.1500000,0.3958022,1.4605610,0.3958022,1.4605610,0.7549326,1.3261177,2.4485865
2.2500000,0.2489732,1.4605610,0.2489732,1.4605610,0.6559042,1.3629450,2.5553271
2.4000000,0.2489732,1.4605610,0.2489732,1.4605610,0.4997819,1.4000900,2.7106075
2.5500000,0.0999342,1.5244849,0.0999342,1.5244849,0.3456242,1.4480331,2.7685196
2.6500000,0.0999342,1.5724279,0.0999342,1.5724279,0.2774893,1.4764229,2.7620957
2.7500000,0.0999342,1.5720731,0.0999342,1.5720731,0.2282450,1.5030531,2.7414497
